    n | CN                                       | FR                                                           | EN                                                
 1212 | 封灭族（第三更）                                 | "Le Clan de l'Extermination Scellée"                         | Chapter 1212 - Sealing Extermination Clan         
 1213 | 道术！（第四更）                                 | Sortilège du Dao                                             | Chapter 1213 - Dao Spell                          
 1214 | 铁柱（第一更）                                  | Tie Zhu                                                      | Chapter 1214 - Tie Zhu                            
 1215 | 美妙与回味（第二更）                               | Goût raffiné et anticipation                                 | Chapter 1215 - Beautiful Taste and Anticipation   
 1216 | 七彩花（第三更）                                 | La Fleur aux Sept Couleurs                                   | Chapter 1216 - Seven-Colored Flower               
 1217 | 苏醒（第四更）                                  | "L'Éveil"                                                    | Chapter 1217 - Awakening                          
 1218 | 封界之阵（第一更）                                | La Formation de Scellement du Royaume                        | Chapter 1218 - The Realm-Sealing Formation        
 1219 | 八灵现（第二更）                                 | Apparition du Huitième Esprit                                | Chapter 1219 - Eighth Spirit Appear               
 1220 | 天逆之主（第三更）                                | Le Détenteur de la Perle Défiant le Ciel                     | Chapter 1220 - Owner of the Heaven Defying Bead   
 1221 | 封界之主的身份（第四更）                             | "L'identité du Seigneur du Royaume Scellé"                   | Chapter 1221 - The Identity of the Lord of the S  
 1222 | 云魂子的敬畏（求月票）                              | Le Maître Nuage Âme se soumet                                | Chapter 1222 - Master Cloud Soul Yields           
 1223 | 惊变                                       | Changement de taille                                         | Chapter 1223 - Shocking Change                    
 1224 | 掌心（第一更）                                  | La Paume                                                     | Chapter 1224 - Palm                               
 1225 | 碎指（第二更）                                  | Briser les doigts                                            | Chapter 1225 - Breaking Fingers                   
 1226 | 你可是掌尊（第三更）                               | Êtes-vous le Souverain ?                                     | Chapter 1226 - Are You the Sovereign              
 1227 | 百年前的福佑（第四更）                              | "La bénédiction d'il y a 100 ans"                            | Chapter 1227 - The Blessing From 100 Years Ago    
 1228 | 老夫刘金彪！！                                  | "Le nom de ce vieil homme est Liu Jinbiao !!"                | "Chapter 1228 - This Old Mans Name is Liu Jinbia  
 1229 | 目标，风之仙界！                                 | "Cible : le Royaume Céleste du Vent !"                       | "Chapter 1229 - Target, Wind Celestial Realm!"    
 1230 | 强！（第三更）                                  | Puissant                                                     | Chapter 1230 - Strong                             
 1231 | 火蜈                                       | Centipède de Feu                                             | Chapter 1231 - Fire Centipede                     
 1232 | 惊容                                       | Apparition choquante                                         | Chapter 1232 - Shocked Appearance                 
 1233 | 风动（致歉）                                   | Mouvement du Vent                                            | Chapter 1233 - Movement of Wind                   
 1234 | 迎接（第一更）                                  | Bienvenue                                                    | Chapter 1234 - Welcome                            
 1235 | 凝聚赤红蚊兽（第二更）                              | Rassemblement des Bêtes Moustiques Rouges                    | Chapter 1235 - Gathering Red Mosquito Beasts      
 1236 | 另一个蚊兽王（第三更）                              | Un autre Roi des Moustiques                                  | Chapter 1236 - Another Mosquito King              
 1237 | 逼近（第一更）                                  | "L'Encerclement"                                             | Chapter 1237 - Closing In                         
 1238 | 新王！（第二更）                                 | Nouveau Roi                                                  | Chapter 1238 - New King                           
 1239 | 归元宗（第三更）                                 | "Sect de l'Origine"                                          | Chapter 1239 - Origin Sect                        
 1240 | 李倩梅                                      | Li Qianmei                                                   | Chapter 1240 - Li Qianmei                         
 1241 | 他，来了么                                    | Est-il venu ?                                                | Chapter 1241 - Did He Come                        
 1242 | 残夜之后                                     | Après la Nuit Déchirée                                       | Chapter 1242 - After Sundered Night               
 1243 | 第九道规则                                    | La Neuvième Loi                                              | Chapter 1243 - The Ninth Law                      
 1244 | 流月                                       | "Le Temps qui S'écoule"                                      | Chapter 1244 - Flowing Time                       
 1245 | 一息百年                                     | 100 ans en un instant                                        | Chapter 1245 - 100 Years in An Instant            
 1246 | 逆之蚊兽（第一更！）                               | Défi à la Bête Moustique                                     | Chapter 1246 - Defying Mosquito Beast             
 1247 | 蚊王变异（第二更）                                | La Mutation du Roi Moustique                                 | Chapter 1247 - The Mosquito Kings Mutation        
 1248 | 收（第三更）                                   | Acceptation                                                  | Chapter 1248 - Accept                             
 1249 | 木冰眉（第四更）                                 | Mu Bingmei                                                   | Chapter 1249 - Mu Bingmei                         
 1250 | 叱咤无极（一）第一更                               | Réprimande de la Secte Éternelle (1)                         | Chapter 1250 - Rebuking the Everlasting Sect (1)  
 1251 | 叱咤无极（二）第二更                               | Réprimander la Secte Éternelle (2)                           | Chapter 1251 - Rebuking the Everlasting Sect (2)  
 1252 | 叱咤无极（三）第三更                               | Réprimande du Sect Everlasting (3)                           | Chapter 1252 - Rebuking the Everlasting Sect (3)  
 1253 | 叱咤无极（四）第四更                               | Réprimande du Secte Éternel (4)                              | Chapter 1253 - Rebuking the Everlasting Sect (4)  
 1254 | 叱咤无极（五）                                  | Réprimande au Sect Everlasting (5)                           | Chapter 1254 - Rebuking the Everlasting Sect (5)  
 1255 | 叱咤无极（六）                                  | Réprimande au Sect Everlasting (6)                           | Chapter 1255 - Rebuking the Everlasting Sect (6)  
 1256 | 叱咤无极（七）                                  | "Réprimande au Sect de l'Éternité (7)"                       | Chapter 1256 - Rebuking the Everlasting Sect (7)  
 1257 | 叱咤无极（八）                                  | Réprimande au Secte Everlasting (8)                          | Chapter 1257 - Rebuking the Everlasting Sect (8)  
 1258 | 叱咤无极，残夜                                  | Réprimander la Secte Éternelle, Nuit Brisée                  | Chapter 1258 - Rebuking the Everlasting Sect, Su  
 1259 | 叱咤无极，流月                                  | "Réprimander le Secte de l'Éternité, le Temps qui s'écoule   | Chapter 1259 - Rebuking the Everlasting Sect, Fl  
 1260 | 隐现生死劫                                    | "Un aperçu d'une épreuve de vie ou de mort"                  | Chapter 1260 - Glimpse of a Life and Death Trial  
 1261 | 来自神宗的杀劫                                  | La Calamité du Secte Divin                                   | Chapter 1261 - The Calamity From the God Sect     
 1262 | 回来了……                                    | Le Retour                                                    | Chapter 1262 - Came Back                          
 1263 | 鱼儿与飞鸟                                    | "Le Poisson et l'Oiseau"                                     | Chapter 1263 - The Fish and the Bird              
 1264 | 惊变！                                      | Pour savoir                                                  | Chapter 1264 - To Know                            
 1265 | (empty)                                  | "Changement stupéfiant !"                                    | "Chapter 1265 - Shocking Change!"                  *
 1266 | 一线生机！（第一更）                               | Une Chance de Survie                                         | Chapter 1266 - A Chance of Survival               
 1267 | 你就是刘金彪？（第二更）                             | Vous êtes Liu Jinbiao ?                                      | Chapter 1267 - Youre Liu Jinbiao                  
 1268 | 天逆消失！（第三更）                               | "La Perle Défiant le Ciel disparaît !"                       | "Chapter 1268 - The Heaven Defying Bead Disappea  
 1269 | 、                                        | Sans foyer (1)                                               | Chapter 1269 - Without a Home (1)                 
 1270 | 没有了家……（第四、五更合一）                          | Sans foyer (2)                                               | Chapter 1270 - Without a Home (2)                 
 1271 | 等你到来                                     | En attente de votre arrivée                                  | Chapter 1271 - Awaiting Your Arrival              
 1272 | (empty)                                  | "L'Apparition du Char de Destruction des Dieux"              | Chapter 1272 - The God Slaying Chariot Appears O   *
 1273 | 来临！                                      | "Arrivée !"                                                  | "Chapter 1273 - Arrival!"                         
 1274 | 色变（第三更，补欠）                               | "Changement d'expression"                                    | Chapter 1274 - Expression Changed                 
 1275 | 涅劫四境                                     | Les Quatre Royaumes du Vide                                  | Chapter 1275 - The Four Void Realms               
 1276 | 反击！                                      | "Contre-attaque !"                                           | "Chapter 1276 - Counter Attack!"                  
 1277 | 重生！（第一更）                                 | Renaissance                                                  | Chapter 1277 - Rebirth                            
 1278 | 一百拳（第二更）                                 | Cent coups de poing                                          | Chapter 1278 - 100 punches                        
 1279 | 伤！（第三更）                                  | Blessé                                                       | Chapter 1279 - Injured                            
 1280 | 三道本源！！！（第四更）                             | "Trois Essences !!"                                          | "Chapter 1280 - Three Essences!!"                 
 1281 | 封界之玉                                     | Le Jade du Royaume Scellé                                    | Chapter 1281 - Jade of the Sealed Realm           
 1282 | 大造化的开始                                   | "Le Début d'une Grande Opportunité"                          | Chapter 1282 - Beginning of a Great Opportunity   
 1283 | 封界之尊（第一更）                                | Seigneur du Royaume Scellé                                   | Chapter 1283 - Lord of the Sealed Realm           
 1284 | 天逆的来历（第二更）                               | "L'Origine de la Perle Défiant le Ciel"                      | Chapter 1284 - The Origin of the Heaven Defying   
 1285 | (empty)                                  | "Éveil ! (1)"                                                | "Chapter 1285 - Awakening! (1)"                    *
 1286 | (empty)                                  | "L'éveil ! (2)"                                              | "Chapter 1286 - Awakening! (2)"                    *
 1287 | 虽千万人吾往矣！                                 | "Même si des dizaines de milliers de personnes tentent de    | "Chapter 1287 - Even If Tens of Thousands of Peo  
 1288 | 十年前的威名！                                  | "La gloire d'il y a 10 ans !"                                | "Chapter 1288 - Fame From 10 Years Ago!"          
 1289 | 强者为尊！                                    | "Les forts sont respectés !"                                 | "Chapter 1289 - The Strong are Respected!"        
 1290 | 一句话！                                     | "Une seule ligne !"                                          | "Chapter 1290 - One Line!"                        
 1291 | 妖宗裂缝                                     | La Fissure Spatiale au Secte des Démons                      | Chapter 1291 - The Spatial Crack at the Demon Se  
 1292 | 红芒下的白衣身影                                 | La Figure Blanche Sous la Lumière Rouge                      | Chapter 1292 - The White Figure Under the Red Li  
 1293 | 成我坐骑，饶你一命！                               | "Devenez ma monture et je vous épargnerai la vie !"          | "Chapter 1293 - Become My Mount and Ill Spare Yo  
 1294 | 道术                                       | Sortilège du Dao                                             | Chapter 1294 - Dao Spell                          
 1295 | 李倩梅的线索                                   | Indices sur Li Qianmei                                       | Chapter 1295 - Lead About Li Qianmei              
 1296 | 长啸！                                      | "Rire !"                                                     | "Chapter 1296 - Laughter!"                        
 1297 | 冲！！！                                     | "À l'assaut !!!"                                             | "Chapter 1297 - Rush!!!"                          
 1298 | 撕开封印！                                    | "Briser le sceau !"                                          | "Chapter 1298 - Tearing Off the Seal!"            
 1299 | 十三阶                                      | Rang 13                                                      | Chapter 1299 - Rank 13                            
 1300 | 古神祭坛                                     | "L'Autel de l'Ancien Dieu"                                   | Chapter 1300 - Ancient God Altar                  
 1301 | 天劫来临                                     | La Rétribution Divine Arrive                                 | Chapter 1301 - Divine Retribution Arrives         
 1302 | 只手遮天                                     | "Couvrir le ciel d'une seule main"                           | Chapter 1302 - Cover the Sky With One Hand        
 1303 | 封界大阵                                     | Formation du Royaume Scellé                                  | Chapter 1303 - Sealed Realm Formation             
 1304 | 九宫八卦（第一更）                                | Neuf Palais, Huit Diagrammes                                 | Chapter 1304 - Nine Palace, Eight Diagram         
 1305 | 天劫为劫，亦为造化（第二更）                           | La Rétribution Divine est une Calamité Mais Aussi une Fort   | Chapter 1305 - Divine Retribution is a Calamity   
 1306 | 极境诞生（第三更！）                               | Naissance du Royaume Ji                                      | Chapter 1306 - Birth of the Ji Realm              
 1307 | 吞灵噬体绝天大法！（第四更）                           | "Dévorer le corps et l'âme, Sort d'Extinction Céleste !"     | "Chapter 1307 - Devour the Body and Soul, Heaven  
 1308 | 拓森！！                                     | Tuo Sen                                                      | Chapter 1308 - Tuo Sen                            
 1309 | 追杀！！                                     | "Chasse !!"                                                  | "Chapter 1309 - Hunt!!"                           
 1310 | 关联                                       | Association                                                  | Chapter 1310 - Association                        
 1311 | 宿命第一战                                    | La Première Bataille Prédestinée (1)                         | Chapter 1311 - The First Predestined Battle (1)   
 1312 | 宿命第一战（第一更）                               | La Première Bataille Destinée (2)                            | Chapter 1312 - The First Predestined Battle (2)   
 1313 | 宿命第一战（第二更）                               | La Première Bataille Prédéterminée (3)                       | Chapter 1313 - The First Predestined Battle (3)   
 1314 | 宿命第一战（第三更）                               | La Première Bataille Prédestinée (4)                         | Chapter 1314 - The First Predestined Battle (4)   
 1315 | 宿命第一战（第四更）                               | La Première Bataille Prédestinée (5)                         | Chapter 1315 - The First Predestined Battle (5)   
 1316 | 把她，给我                                    | Remets-la-moi                                                | Chapter 1316 - Give Her to Me                     
 1317 | 续……                                      | Suite...                                                     | Chapter 1317 - Continue                           
 1318 | 白衣女子                                     | La femme en blanc                                            | Chapter 1318 - The Woman in White                 
 1319 | 抉择                                       | Choix                                                        | Chapter 1319 - Choice                             
 1320 | 融                                        | Fusion                                                       | Chapter 1320 - Fuse                               
 1321 | 第三步的隔膜                                   | La Barrière du Troisième Étape                               | Chapter 1321 - The Barrier to the Third Step      
 1322 | 门徒香火                                     | Changement soudain                                           | Chapter 1322 - Sudden Change                      
 1323 | (empty)                                  | Flammes de Joss                                              | Chapter 1323 - Joss Flame                          *
 1324 | 走出蓝丝！（第一更）                               | Quitter le Clan de la Soie Bleue                             | Chapter 1324 - Leaving the Blue Silk Clan         
 1325 | 投影分身（第二更）                                | Avatar de Projection                                         | Chapter 1325 - Projection Avatar                  
 1326 | 追杀（第三更）                                  | La Chasse                                                    | Chapter 1326 - Hunt                               
 1327 | 骗局……（第四更）                                | Arnaque                                                      | Chapter 1327 - Scam                               
 1328 | 夺舍                                       | Possession                                                   | Chapter 1328 - Possession                         
 1329 | 闪雷族                                      | Le Clan du Tonnerre Dispersé                                 | Chapter 1329 - Scatter Thunder Clan               
 1330 | 闪雷榜                                      | Classement du Tonnerre Éparpillé                             | Chapter 1330 - Scatter Thunder Ranking            
 1331 | 为前辈……                                    | "Pour l'Aîné"                                                | Chapter 1331 - For Senior                         
 1332 | 劲敌                                       | Rival de toujours                                            | Chapter 1332 - Arch-Rival                         
 1333 | 这才是生活                                    | "C'est la vie"                                               | Chapter 1333 - This is the Life                   
 1334 | 一个可怕的猜测                                  | Une supposition terrifiante                                  | Chapter 1334 - A Terrifying Guess                 
 1335 | 雷晶殿                                      | Le Temple du Cristal de Tonnerre                             | Chapter 1335 - Thunder Crystal Temple             
 1336 | 晋升闪雷榜（第三更！）                              | Promotion au Classement du Tonnerre Disséminé                | Chapter 1336 - Promoting into the Scatter Thunde  
 1337 | 闪雷族的隐秘（第四更）                              | Le Secret du Clan du Tonnerre Éparpillé                      | Chapter 1337 - The Secret of the Scatter Thunder  
 1338 | 杀周天子（第一更！）                               | "L'exécution du Maître Zhou Tian"                            | Chapter 1338 - Killing Master Zhou Tian           
 1339 | 不怀好意（第二更！）                               | Intention Malveillante                                       | Chapter 1339 - Malicious Intent                   
 1340 | 这就是天劫么！（第三更）                             | Ainsi est la Rétribution Divine                              | Chapter 1340 - So This is Divine Retribution      
 1341 | 我就是天劫！（第四更）                              | Je suis la Rétribution Divine                                | Chapter 1341 - I’m Divine Retribution             
 1342 | 雷修大能之路！                                  | "La Voie d'un Puissant Cultivateur du Tonnerre !"            | "Chapter 1342 - The Path of a Powerful Thunder C  
 1343 | 诱饵                                       | "L'Appât"                                                    | Chapter 1343 - Bait                               
 1344 | 散灵上人（第一更）                                | Le Daoïste Esprit Disséminé                                  | Chapter 1344 - Daoist Scattered Spirit            
 1345 | 天地的尽头（第二更）                               | La Fin du Monde                                              | Chapter 1345 - The End of the World               
 1346 | 主人在哪！（第三更）                               | Où est le Maître ?                                           | Chapter 1346 - Where is Master                    
 1347 | 闪雷之战！（一）第四更                              | "Bataille au sein du Clan du Tonnerre Éparpillé ! (1)"       | "Chapter 1347 - Battle at the Scatter Thunder Cl  
 1348 | 闪雷之战！（二）第一更！                             | "Bataille au Clan du Tonnerre Éparpillé ! (2)"               | "Chapter 1348 - Battle at the Scatter Thunder Cl  
 1349 | 闪雷之战！（三）第二更！                             | "Bataille au clan du Tonnerre Éparpillé ! (3)"               | "Chapter 1349 - Battle at the Scatter Thunder Cl  
 1350 | 闪雷之战！（四）第三更！                             | "Bataille au Clan du Tonnerre Éparpillé ! (4)"               | "Chapter 1350 - Battle at the Scatter Thunder Cl  
 1351 | 闪雷之战！（五）                                 | "Bataille au Clan du Tonnerre Éparpillé ! (5)"               | "Chapter 1351 - Battle at the Scatter Thunder Cl  
 1352 | 闪雷之战！（六）                                 | "Bataille au Clan du Tonnerre Éparpillé ! (6)"               | "Chapter 1352 - Battle at the Scatter Thunder Cl  
 1353 | 闪雷之战！（七）                                 | "Bataille au Clan du Tonnerre Éparpillé ! (7)"               | "Chapter 1353 - Battle at the Scatter Thunder Cl  
 1354 | 七剑斩天山（一）                                 | "Sept coups d'épée fauchent la Montagne Céleste (1)"         | Chapter 1354 - Seven Sword Chops the Heavenly Mo  
 1355 | 七剑斩天山（二）求保底月票                            | "Sept coups d'épée fauchent la Montagne Céleste (2)"         | Chapter 1355 - Seven Sword Chops the Heavenly Mo  
 1356 | 七剑斩天山（三）第一更                              | "Sept coups d'épée contre la Montagne Céleste (3)"           | Chapter 1356 - Seven Sword Chops the Heavenly Mo  
 1357 | 七剑斩天山（四）第二更                              | "Sept coups d'épée fendent la Montagne Céleste (4)"          | Chapter 1357 - Seven Sword Chops the Heavenly Mo  
 1358 | 七剑斩天山（完）第三更                              | "Sept coups d'épée fauchent la Montagne Céleste (5)"         | Chapter 1358 - Seven Sword Chops the Heavenly Mo  
 1359 | 传说……（第四更！）                               | Légende                                                      | Chapter 1359 - Legend                             
 1360 | 精神支柱坍塌！（第一更）                             | "L'effondrement du pilier spirituel"                         | Chapter 1360 - Spiritual Support Collapses        
 1361 | 给我下来！！（第二更）                              | "Descendez d'ici"                                            | Chapter 1361 - Get Down Here                      
 1362 | 遁尘炼雷（第四更）                                | Évasion de la Terre, Raffinement du Tonnerre                 | Chapter 1362 - Earth Escape, Thunder Refining     
 1363 | 久违的平静                                    | Long Silence                                                 | Chapter 1363 - Long Silence                       
 1364 | 太古星辰令                                    | "L'Ordre de l'Ancien Système Stellaire"                      | Chapter 1364 - Ancient Star System Order          
 1365 | 三幅画面                                     | Trois Images                                                 | Chapter 1365 - Three Images                       
 1366 | 五彩极境                                     | Le Domaine aux Cinq Couleurs                                 | Chapter 1366 - Five-Colored Ji Realm              
 1367 | 司墨子！（第一更）                                | Maître Simo                                                  | Chapter 1367 - Master Simo                        
 1368 | 空之大门！！（第二更）                              | La Grande Porte du Vide                                      | Chapter 1368 - The Great Void Gate                
 1369 | 雷图轰天！（第三更）                               | Le Tatouage de Tonnerre Ébranle les Cieux                    | Chapter 1369 - Thunder Tattoo Shakes The Heavens  
 1370 | 看错了他！（第四更）                               | Je me suis trompé à son sujet                                | Chapter 1370 - I Was Wrong About Him              
 1371 | (empty)                                  | Je ne peux pas supporter cela                                | Chapter 1371 - I Can’t Endure It                   *
 1372 | (empty)                                  | Cristal de Mutation du Feu Dévorant (1)                      | Chapter 1372 - Blazing Fire Mutation Crystal (1)   *
 1373 | (empty)                                  | Cristal de Mutation de Feu Déchaîné (2)                      | Chapter 1373 - Blazing Fire Mutation Crystal (2)   *
 1374 | 司墨子来临                                    | Arrivée du Maître Simo                                       | Chapter 1374 - Arrival of Master Simo             
 1375 | 初遇火雀                                     | "Première rencontre avec l'Étourneau de Feu"                 | Chapter 1375 - First Encounter With Fire Sparrow  
 1376 | (empty)                                  | Osez-vous vous battre (1)                                    | Chapter 1376 - Do you dare to fight (1)            *
 1377 | (empty)                                  | Osez-vous combattre (2)                                      | Chapter 1377 - Do You Dare to Fight (2)            *
 1378 | 一代宗师                                     | Une Génération de Maîtres                                    | Chapter 1378 - A Generation of Masters            
 1379 | 大帝！                                      | Grand Empereur                                               | Chapter 1379 - Great Emperor                      
 1380 | 四息！                                      | "Quatre respirations !"                                      | "Chapter 1380 - Four Breaths!"                    
 1381 | 少帝                                       | Le Jeune Empereur                                            | Chapter 1381 - Young Emperor                      
 1382 | 故人（第一更）                                  | Vieux ami                                                    | Chapter 1382 - Old Friend                         
 1383 | 贪狼（第二更）                                  | Cupidité                                                     | Chapter 1383 - Greed                              
 1384 | (empty)                                  | "L'Oiseau Effrayé (1)"                                       | Chapter 1384 - Frightened Bird (1)                 *
 1385 | (empty)                                  | Oiseau effrayé (2)                                           | Chapter 1385 - Frightened Bird (2)                 *
 1386 | 收宝（第一更）                                  | Collecte de trésors                                          | Chapter 1386 - Collecting Treasure                
 1387 | 线索（第二更）                                  | Indice                                                       | Chapter 1387 - Clue                               
 1388 | 不要怕！（第三更）                                | "N'ayez pas peur !"                                          | "Chapter 1388 - Don’t Be Afraid!"                 
 1389 | (empty)                                  | "L'identité et l'origine de la statue (1)"                   | Chapter 1389 - The Identity and Origin of the St   *
 1390 | (empty)                                  | "L'identité et l'origine de la statue (2)"                   | Chapter 1390 - The Identity and Origin of the St   *
 1391 | 骗道                                       | Obtenu par la Tromperie                                      | Chapter 1391 - Obtained Through Deceiving         
 1392 | 六代朱雀                                     | "L'Oiseau Vermillon de la Sixième Génération"                | Chapter 1392 - Sixth Generation Vermillion Bird   
 1393 | (empty)                                  | Sept Couleurs Encore (1)                                     | Chapter 1393 - Seven Colors Again (1)              *
 1394 | (empty)                                  | Sept Couleurs Encore (2)                                     | Chapter 1394 - Seven Colors Again (2)              *
 1395 | 风起                                       | Le Vent se Lève                                              | Chapter 1395 - Wind Rises                         
 1396 | 浪涌                                       | Vagues de déferlement                                        | Chapter 1396 - Waves Surges                       
 1397 | 咯噔                                       | Thump                                                        | Chapter 1397 - Thump                              
 1398 | 黄毛丫头                                     | Petite Gamine Impertinente                                   | Chapter 1398 - Cheeky Little Girl                 
 1399 | 古魂禁！（第一更）                                | "Restriction de l'Âme Ancienne"                              | Chapter 1399 - Ancient Soul Restriction           
 1400 | 湖心藏月（第二更）                                | La Lune cachée au cœur du lac                                | Chapter 1400 - Moon Concealed at the Heart of th  
 1401 | 钓龙（第三更）                                  | Pêcher un dragon                                             | Chapter 1401 - Fishing Dragon                     
 1402 | 朱雀老祖（第四更）                                | "Ancêtre de l'Oiseau Vermillon"                              | Chapter 1402 - Vermillion Bird Ancestor           
 1403 | 踏入力之证道（第五更）                              | "S'engager sur la véritable Voie du Pouvoir"                 | Chapter 1403 - Stepping Into the Proper Dao of P  
 1404 | 护短的老朱雀                                   | Le parti pris du vieil Oiseau Vermillon                      | Chapter 1404 - The Biased Old Vermillion Bird     
 1405 | 浮生若梦                                     | Une vie semblable à un rêve                                  | Chapter 1405 - Dream like life                    
 1406 | 若魂悲                                      | "Comme l'âme de la tristesse"                                | Chapter 1406 - Like the Soul of Sadness           
 1407 | 我，不愿！                                    | "Je ne suis pas disposé !"                                   | "Chapter 1407 - I’m Not Willing!"                 
 1408 | 业火魂中起！                                   | "L'Ascension du Feu Karmique dans l'Âme"                     | Chapter 1408 - Karma Fire Rise In the Soul        
 1409 | 狼烟苍香燃！                                   | "La fumée bleue parfumée signale le danger !"                | "Chapter 1409 - Fragrant Blue Signal Smoke Burns  
 1410 | 惊变                                       | Changement Époustouflant                                     | Chapter 1410 - Shocking Change                    
 1411 | 四次觉醒！                                    | "Quatrième Éveil !"                                          | "Chapter 1411 - Fourth Awakening!"                
 1412 | 九色归一！（第一更）                               | "Neuf couleurs fusionnent en une !"                          | "Chapter 1412 - Nine Colors Fuse Into One!"       
 1413 | 天逆之变！（第二更）                               | "Changement vers la Perle Défiant le Ciel !"                 | "Chapter 1413 - Change To The Heaven Defying Bea  
 1414 | 颠落之名！（第三更）                               | La renommée des Terres Déchues                               | Chapter 1414 - Fame of the Fallen Land            
 1415 | 古之墓地……开！（第四更）                            | "Le tombeau de l'Ordre Ancien s'ouvre !"                     | "Chapter 1415 - Ancient Order Tomb Opens!"        
 1416 | 三代孽雀                                     | Le Troisième Oiseau Vermillon Traître                        | Chapter 1416 - Traitorous Third Vermillion Bird   
 1417 | 修行如掌                                     | La Culture est comme une Main                                | Chapter 1417 - Cultivation is Like a Hand         
 1418 | 也可以                                      | "Je peux le faire aussi !"                                   | "Chapter 1418 - Can Do It As Well!"               
 1419 | 来！！                                      | "Venez !!"                                                   | "Chapter 1419 - Come!!"                           
 1420 | 战！！                                      | "Bataille !!"                                                | "Chapter 1420 - Battle!!"                         
 1421 | 香火一拜！                                    | "L'Adoration des Flammes de l'Encens !"                      | "Chapter 1421 - Joss Flame Worship!"              
 1422 | 封香火界！                                    | "Scellez le Royaume de la Flamme Joss !"                     | "Chapter 1422 - Seal the Joss Flame Realm!"       
 1423 | 人杰！                                      | Un Individu Illustre                                         | Chapter 1423 - Illustrious Individual             
 1424 | 梦道种魔                                     | Le Dao des Rêves sème un démon intérieur                     | Chapter 1424 - Dream Dao Plants Inner Demon       
 1425 | 或许会有这一天……                                | Peut-être que ce jour viendra...                             | Chapter 1425 - Perhaps That Day Will Come         
 1426 | 将离（四月第一更）                                | Le Départ                                                    | Chapter 1426 - Will Leave                         
 1427 | 铭志！（第二更！）                                | "L'Ambition Gravée"                                          | Chapter 1427 - Engraved Ambition                  
 1428 | 疯狂的念头！（第三更）                              | "Une idée folle !"                                           | "Chapter 1428 - Crazy Idea!"                      
 1429 | 井中捞月！（第四更）                               | "Pêcher la lune dans le puits !"                             | "Chapter 1429 - Fishing the Moon in the Well!"    
 1430 | 伞开灭世！！（第五更）                              | "L'Ombrelle s'ouvre pour détruire le royaume !"              | "Chapter 1430 - Umbrella Opens to Destroy the Re  
 1431 | 这一天，到了！（第六更！！求月票！）                       | "Ce jour est arrivé !"                                       | "Chapter 1431 - This Day Arrived!"                
 1432 | 情与恩（第一更！）                                | Amour et Gratitude                                           | Chapter 1432 - Love and Gratitude                 
 1433 | 他，是不是掌尊？（第二更！）                           | Était-il vraiment le Souverain ?                             | Chapter 1433 - Was He Really the Sovereign        
 1434 | 奉天狼（第三更）                                 | "L'Estimé Clan du Loup Céleste"                              | Chapter 1434 - Esteemed Heavenly Wolf             
 1435 | 王林的伏击！！（第四更！）                            | "L'embuscade de Wang Lin"                                    | Chapter 1435 - Wang Lin’s Ambush                  
 1436 | 古墓开启                                     | "L'ouverture de la Tombe de l'Ordre Ancien !"                | "Chapter 1436 - Ancient Order Tomb Opens!"        
 1437 | 可怕的端倪！                                   | "Indice terrifiant !"                                        | "Chapter 1437 - Terrifying Clue!"                 
 1438 | 三姐、四妹                                    | Troisième Sœur Aînée, Quatrième Sœur Cadette                 | Chapter 1438 - Third Older Sister, Fourth Younge  
 1439 | 情语、杀劫                                    | Langage Émotionnel, Calamité de la Boucherie                 | Chapter 1439 - Emotional Language, Slaughter Cal  
 1440 | 三人三人又三人                                  | Trois personnes, trois personnes et encore trois personnes   | Chapter 1440 - Three People, Three People, and T  
 1441 | 传闻传闻又传闻                                  | Rumeurs, rumeurs et encore des rumeurs                       | Chapter 1441 - Rumors, Rumors, and More Rumors    
 1442 | 疗伤的契机！                                   | "Une chance de guérir !"                                     | "Chapter 1442 - Opportunity to Heal!"             
 1443 | 虚火修士！！                                   | "Cultivateur du Feu Éthéré !!"                               | "Chapter 1443 - Ethereal Fire Cultivator!!"       
 1444 | 敌临                                       | "L'ennemi approche"                                          | Chapter 1444 - Enemy Approaches                   
 1445 | 二阶墓台                                     | Plateforme de second ordre                                   | Chapter 1445 - Second Order Platform              
 1446 | 螳螂捕蝉（第一更）                                | La mante chasse la cigale                                    | Chapter 1446 - Mantis Hunting Cicada              
 1447 | 谁是黄雀！（第二更）                               | Qui est le Bruant jaune ?                                    | Chapter 1447 - Who is the Yellow Finch            
 1448 | 趁病要命！（第三更）                               | "Profiter de la maladie pour tuer !"                         | "Chapter 1448 - Taking Advantage of the Illness   
 1449 | 墓台之秘（第四更）                                | Le Secret de la Plateforme                                   | Chapter 1449 - Secret of the Platform             
 1450 | 赐名古奴子                                    | "Un nom donné : l'Esclave Ancien !"                          | "Chapter 1450 - Given the Name Ancient Slave!"    
 1451 | 答案！                                      | "La Réponse !"                                               | "Chapter 1451 - Answer!"                          
 1452 | 大荒老毒                                     | Vieux Poison de la Grande Désolation                         | Chapter 1452 - Great Desolation Old Poison        
 1453 | 寒目望天！                                    | "Regarda les Cieux d'un Regard Froid"                        | Chapter 1453 - Looked at the Sky With a Cold Gaz  
 1454 | 分！                                       | "Points !"                                                   | "Chapter 1454 - Points!"                          
 1455 | 巨手再现！                                    | Coup fatal                                                   | "Chapter 1455 - Killing Move!"                    
